"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0044",204336.7424,206457.3467,207088.7647,206545.3421,216955.8949,208504.6609,201689.1838,209662.6245,210452.7511,224735.7662,219802.176,211632.6842,209147.8778,205211.8369,216761.501,247753.0505,214403.3102,217596.9929,221221.0871,220913.4457,201351.9661,223934.0907,207931.1838,209780.2725,214361.075,208703.4425,209428.5688,213710.0094,204407.6005,215020.7222
"Feature0045",11249051.11,16914327.09,8441296.528,6504353.089,14153222.85,6839812.625,6341017.217,18166802.48,12328986.3,18465646.17,5772034.266,9737312.947,19294270.63,17280625.59,13742464.22,16385399.59,4266087.068,6747148.521,18629019.42,27554808.25,7857465.019,8349486.155,9432835.257,32615028.57,10782962.02,17710307.77,11366315.49,17654167.7,9911869.006,3799118.569
"Feature0046",56993158.5,10382261.81,11129489.21,5977100.701,10844410.9,28702112.62,7710258.291,21601048.35,15892710.85,29967204.23,21823789.26,11847949.22,2894304.703,16221573.72,11764770.6,18285518.22,17395536.36,18387942.16,29750774.81,34313612.02,30411097.9,7669649.069,29716412.42,41180353.05,14742996.29,21070747.99,28959076.36,42629047.6,37037754.93,20683478.94
"Feature0047",29402652.45,7486465.338,7383633.487,34191763.58,7239567.004,59430680.73,5770951.82,7874703.514,7891178.593,172377404.5,29210916.1,7401191.033,7853814.437,7550507.721,8383452.96,7614832.775,20510324.39,34625459.24,125883243.2,131536333.5,190686286,7898813.424,127712418.7,7902440.993,8481940.097,5354196.056,61778094.27,61675063.31,141935315.2,23941883.66
"Feature0048",25198301.3,220989.6891,190930.8974,24684924,167707.1493,14067301.27,1104513.907,258402.126,211546.5848,17655597.39,6191600.038,191035.9159,252424.5437,301211.0599,474893.9921,181447.6341,6408057.393,7581571.995,19221663.67,20834946.05,15486844.53,297446.2901,18284538.22,2342341.43,128261.1644,315055.6729,12433627.33,28929728.85,19305214.43,6228361.021
"Feature0049",6010646.111,43296336.58,42798254.81,19281488.27,46293405.93,4226079.277,34563130.94,49457518.72,43265193.97,4922680.587,3022760.497,39000637.65,53116994.3,45971012.03,40448894.35,51587754.12,5735281.283,2570292.188,7748362.762,9358463.6,6101483.971,35583225.85,5688166.2,77150878.29,42595426,49579272.95,4716871.763,6934666.429,4300343.962,2259672.089
"Feature0050",8139042.293,1810360.223,2273255.577,180305.2596,641220.2545,491867.2706,1811915.855,1793662.825,1838050.907,687996.2391,7472473.767,504956.0328,13857095.92,3278891.706,156796.7797,26386040.56,4472987.318,1864835.297,2703035.211,11387672.34,1356788.226,9849487.974,3035260.598,2395428.57,1182602.94,219529448.4,218931296.3,211565050,1182995.578,1286389.203
"Feature0051",8080869.992,244167019.1,246828554.9,238946881.6,7449005.946,242534857.2,242948615.5,237126685.9,246186913.8,683078.9131,254163960.2,245569953.9,245769494.2,226216576.4,231344581.5,233511401.7,238624328.9,248139755.6,244656553.5,246086639.2,241718588.6,226602212.3,4564082.809,235878947.1,238969556.6,219529448.4,1508402.146,198107.5816,5559620.517,6776912.692
"Feature0052",27291808.91,27728683.45,22184988.43,45284062.49,22164573.03,19207185.78,14086125.39,27926526.13,17797607,29941242.9,14451424.47,15975757.08,27221629,25780380.46,22051631.79,25429914.03,11721173.75,18519014.54,33951963.56,30110140.09,25737372.39,13175899.4,29216465.34,21851752.3,18023549.78,27927538.24,20452893.49,34387441.73,33287846.43,11156108.62
"Feature0053",931946.2033,3540180.816,1910229.801,12166608.39,2987802.459,597488.236,1222962.767,3035268.07,919161.3461,440258.3321,685419.456,1298586.761,3423042.957,3106829.959,2731361.074,2411965.566,629509.1003,326687.4174,568722.9391,403342.2766,350157.9562,916366.8661,438103.8006,23043132.12,2333714.502,4343796.491,336905.0558,494539.5197,519722.3817,481918.287
