"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0035",19.9151093415849,19.9085432590504,21.4441630787224,26.969380985749,26.4590899555232,26.639389766218,21.3699734438139,20.9280091885062,21.3092937287136,20.2265798803924,21.4806797280564,21.3609045087082
"Feature0036",25.7417946637939,26.422658188269,27.4824962832592,21.5815254751138,21.4608433948751,21.3755499574954,26.585306361973,27.332266098592,27.4995369301413,26.2329303628009,27.8397799343688,25.496145113652
"Feature0037",19.1776065453469,19.7143876135194,22.2717916443674,26.5534077572507,26.0481865161945,25.6561233697356,20.8070487531047,20.7656333925839,22.2396699494672,19.9745043280918,22.6860559217869,0
"Feature0038",21.9877702607211,21.2707400413848,24.4129274004215,27.6906639745942,25.3950419856067,25.5900935139143,21.530510648996,21.4239992684482,25.842274623472,21.9923937565351,26.4491454320061,23.9954945581458
"Feature0039",19.890582246346,19.760059145182,27.6519926017245,27.4271697672895,27.411865360097,27.6551706368689,19.913762458718,20.6006934029304,28.3068125427185,19.7275711513263,28.3962790113822,0
"Feature0040",28.3031327446284,28.9247993804491,20.5637025677412,21.4466273273776,20.6783081089668,20.9037639816916,28.6947372793346,29.5051486758232,20.6498357656234,29.0635540082374,20.8380913408998,24.5748771276655
"Feature0041",25.6171871328167,25.8788261632191,28.0778108852509,28.8873547018887,29.3374182919324,29.4243604267084,25.6797781566026,25.843758750971,27.9827874257572,25.8407749043049,28.1486768495447,0
"Feature0042",21.6389550592535,29.1707293615825,8.89565323172614,15.3237431173024,16.2331167444536,17.103994853665,19.379233852688,30.8793582280582,6.40158521288792,21.7402207596087,6.35374651086071,15.7249774872275
"Feature0043",24.9052151997999,25.2619896393991,28.3608941613343,29.5797955850848,29.8232912861862,29.8096647532343,25.8504480440798,26.0569203271347,28.3353120316545,25.0172888381301,27.9502606575021,27.3750420870399
"Feature0044",24.0024295078455,25.306324599847,29.1448270172326,28.7481528007543,28.6718636255909,28.9193136656288,24.8952003194231,26.1053590641227,27.5442768502251,24.1455652465795,26.8895145102275,26.7978818016214
"Feature0045",30.1250289250693,28.9941661822844,22.887979879119,24.9628335906903,23.8651004392998,24.241905009151,30.3459779117821,29.3340756730679,22.5364760922133,30.2427040721403,22.8769468430436,26.4506671372961
"Feature0046",29.3160934307798,28.5883512090361,23.4083724239509,24.3862087374156,24.1534987867156,24.1190073117069,30.1117927469952,29.5950570711072,21.7143594514697,29.3587633979218,21.8784939841288,26.1191289292386
"Feature0047",15.8282481660451,15.5781039774515,23.790878749801,22.3222569989909,19.838228850942,16.2034757710511,16.9452331859236,16.5308366721769,23.2953360646878,15.901477772512,23.5021768732841,19.3224943304454
"Feature0048",22.3951022705648,22.4200177526677,26.1728942460755,29.895678916388,30.2239865619194,30.1473275346548,22.0442885017255,21.9015069462556,26.3118371644654,22.4337590595644,25.8611077266421,0
"Feature0049",20.549948396685,20.7096215118895,24.1502043447984,29.2807211077775,29.0712267238103,29.1978373822652,20.4731527670405,21.235780308965,24.9010961216011,20.0520452787613,24.5432626883364,0
