"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0035",NA,NA,NA,NA,NA,NA,NA,103392876.2,NA,NA,NA,147347166.9,NA,NA,NA,NA,140379915.9,NA,NA,NA,183780622.1,NA,NA,NA,NA,NA,NA,165377288,NA,195516939.4,NA,NA,257344246.2,NA,141647604.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,176902995.5,NA,350471475.6,NA,70950217.93,166823535.3,268452627.3,251088778.2,NA,NA,NA,223507241.9,NA,133535470.6,NA
"Feature0036",NA,NA,1083804087,NA,1170053386,NA,NA,612516376.8,477330379,533686192,1425604839,503516127.3,NA,NA,576975567.5,NA,498032315.8,1273254021,NA,504834270.6,1270660864,NA,NA,491007038,625095430.4,NA,599093587.2,1325085281,538961644.6,1082360485,150109178.3,NA,1021997955,549024494.1,529708782,NA,NA,NA,NA,NA,NA,403647794.7,1132231283,NA,701277781.6,981447250.2,1312050603,NA,489475452.2,558464087.9,1092956325,1096178624,NA,NA,NA,994273230.8,NA,1104533783,NA
"Feature0037",NA,NA,21966077,NA,NA,NA,NA,NA,NA,NA,28797254.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19544255.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22758192.7,NA,NA,NA,NA,NA,21914304.53,NA
"Feature0038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139987647.6,NA,NA,181750501.1,167944912.1,NA,NA,NA,NA,NA,296179668.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52718940.71,NA,NA,105685821.1,NA,NA,NA,NA,NA,NA,NA,52175679.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0039",NA,NA,NA,NA,NA,279208372.9,275414790.9,NA,NA,173779352.3,NA,NA,NA,NA,NA,NA,NA,NA,428444251.7,NA,NA,NA,NA,NA,NA,337377616.7,184927843.3,NA,NA,NA,328886399.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,310818030.4,NA,NA,116874214.8,NA,NA,NA,NA,NA,140317939.3,135644239.1,NA,NA,NA,NA
"Feature0040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58515346.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58018126.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0042",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209587581.5,83580813.86,148011596.8,247056734.7,NA,64745105.84,NA,NA,NA
"Feature0043",100451595.4,233772046.1,87493253.28,134288857,84525283.18,167501542.4,115123232.6,99754846.11,NA,175949729.1,143355374,95450058.96,189493031.8,190923624.6,NA,150185884.4,NA,119973068.5,61046765.89,74084542.7,144887520.1,236900194.9,155189434.3,50130000.84,NA,NA,NA,201905643.2,88691956.3,131123820.5,NA,152158249.8,122172606.7,75153738.28,93528346.73,135527711.5,166766540.2,269490525.7,261679342.1,207018507,259939670.3,46545103.06,116363236.2,228890317.1,83373118.97,82206269.13,165595057.1,115004700.5,NA,73695785.24,NA,NA,NA,NA,156387176.7,NA,241428947,108560886.2,125034610.4
"Feature0044",NA,NA,89511216.25,NA,54432413.42,NA,NA,NA,NA,NA,89219347.64,NA,NA,NA,NA,NA,NA,57891060.24,NA,NA,83354920.67,NA,NA,NA,NA,NA,NA,86759478.56,NA,95465437.65,NA,NA,73100980.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,93696126.31,NA,NA,79570859.23,77926678.36,NA,NA,NA,78849769.54,81185991.57,NA,NA,NA,88861939.05,NA,87650504.07,NA
