"","10plus_RP_pos_MS2","18plus_RP_pos_MS2","20plus_RP_pos_MS2","30plus_RP_pos_MS2","3plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","7plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0030",353030.8566,419551.6108,243476.64,168961.4647,148612.8113,160130.2921,49891.2375,284694.3611,172863.7516,130163.2763,166696.68,182066.1852,153624.6934,130028.3336,42989.70956
"Feature0031",12788274.98,13604948.2,26799429.31,45077488.47,24679612.71,26298812.11,31833630.52,31564317.74,21940349.55,28891963.46,37182465.29,18122288.27,18707832.39,26278764.06,28700335.38
"Feature0032",40133121.77,46060772.37,14386420.82,7699607.85,30604719.99,9015715.439,8272484.249,32925265.18,35460993.84,24985165.46,11100782.88,38525725.95,28132786.38,31788800.81,8103889.399
"Feature0033",39557018.92,45483030.47,28674992.41,23764108.47,42825486.08,18953316.81,26636654.37,49635014.96,43840417.58,40502071.63,28067481.11,42624153.41,41644297.94,43821288.22,15435429.19
"Feature0034",49729943.07,18785696.59,12682259.33,12391863.07,24103549.61,21689787.13,24552794.68,22031904.92,33111041.44,22252346.57,11201257.65,22776345.59,26181849.61,26688292.93,14931292.67
"Feature0035",42417862.82,46181268.69,31576214.1,27679049.29,45505649.79,21956748.76,32669021.12,50233653.7,48981049.36,44750581.43,32749383.27,42939415.46,46546706.97,48100279.84,18700275.49
"Feature0036",165614585.8,133257837.1,205331541.8,179566516.9,175084448.8,200956262.6,206298269.8,173119705,198543355.3,207235419,163386721.9,163737392.3,170037270.6,181400099.5,189998102.7
"Feature0037",49905255.78,52678181.36,48562241.98,46123401.03,42761104.36,50698862.36,45080428.53,55643882.89,55042524.37,54956742.4,62392499.39,49439862.63,45264422.23,49268675.33,47257007.67
"Feature0038",33837166.2,40827542.7,21114034.58,17018183.59,27979960.45,13049307.17,18237573.39,32412452.66,27915536.55,19782442.13,25136272.84,35969812.86,29856541.21,26378644.85,10970689.1
"Feature0039",24713039.96,12041398.05,24651295.07,15832675.21,41252647.9,12987461.62,19464858.15,40657582.9,38720176.44,31944963.25,20853819.86,39041916.36,33742411.2,45197356.92,11076499.28
"Feature0040",64442899.93,72278022.55,4306215.229,10912994.56,53185018.61,5509647.074,3868034.966,72102644.76,62538351.55,59084481.6,7546096.808,62354976.5,65359343.28,53124711.33,6947940.848
"Feature0041",62982119.95,68233982.49,51144092.4,46260685.79,66043936.24,35454993.16,51081038.4,74202769.16,71223054.13,66381072.48,50195628.18,60544077.05,68619153.48,65317598.19,33698933.26
"Feature0042",27207280.78,18866577.68,93174407.47,78218928.66,88200143.16,63322726.71,55076709,80067339.35,95323660.55,77026321.51,71720336.89,34525041.14,54208331.58,57823283.72,57469456.43
"Feature0043",5813321.985,3673636.052,7170774.303,6218878.575,5510979.043,4829527.164,5764457.318,5967999.583,6937115.511,6748756.432,6405559.494,4780828.692,4544908.156,4991647.319,5178274.542
"Feature0044",228796.9939,273873.2553,391140.1624,284128.8918,419385.9903,397221.7391,393595.8783,494127.5529,430482.3216,326299.9342,382437.0287,444889.69,523281.3506,341082.8648,429189.8584
