"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5035097486302,0,0,0,0,0,0,0,0,0,0
"Feature0136",0,0,0,23.2960266297933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0137",0,0,0,0,0,0,0,0,21.6165072276783,0,0,0,0,0,0,0,0,0,0,0,22.4072761320149,22.1529670444775,0,0,0,21.8126689658652,0,0,0,0
"Feature0138",0,25.7002688641401,0,0,0,0,0,0,0,0,0,25.3890099530537,0,0,0,0,0,0,0,0,0,0,0,0,26.5970558405394,0,0,0,0,0
"Feature0139",0,0,0,23.5743064318313,0,0,0,0,24.1866575438645,0,0,23.1751561290302,0,24.4462560705249,0,0,0,0,23.8024686772501,0,23.8332983264638,24.5417259273334,0,0,0,0,0,0,0,0
"Feature0140",0,0,0,0,0,0,23.6551388132336,0,0,0,0,0,23.1253366659915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0141",0,0,22.3561453552672,0,23.7073589899571,25.5072981728444,24.550611646161,0,0,0,0,0,0,0,0,25.3124181711433,25.6838609998432,26.2472732377194,25.4192029262566,24.62574863825,25.6291454722449,0,0,0,0,0,25.3561492818392,0,0,25.8220297196692
"Feature0143",0,0,0,24.8805719790983,0,22.6631927108719,0,21.3974330736772,21.7806929353047,0,0,0,22.8831485768332,0,0,0,0,0,0,0,23.3441950080957,0,23.3716926070209,0,0,22.3682173651261,0,24.6408756174179,0,0
"Feature0144",0,0,0,0,24.5008014446395,25.7869025213601,25.2224978301318,0,0,0,0,0,0,0,0,26.5428265018157,25.1420116295038,25.2512209497688,24.9494789696317,24.8740513409611,25.4238955371996,0,24.9336879898327,0,0,0,25.2657237029706,0,0,25.4752838753803
"Feature0145",21.7187115218467,0,0,22.158277516761,0,0,0,19.2751574080899,19.6075136082127,20.6782133044313,0,0,0,18.929721839126,0,0,0,0,0,0,0,19.7310714250296,0,23.8444837492476,0,19.1068744850413,0,20.7412402602852,21.2111513728143,0
"Feature0146",27.7643311568996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.186725797528,0,27.8938727902579,0,0,0,0,0,0,0,0,0
"Feature0147",0,0,22.0492135641718,0,0,28.5507637141618,21.6755902922428,0,0,0,0,0,0,0,0,22.296630515338,28.6639224485382,28.383530834591,25.7349970522677,26.0494071421189,26.3018664769263,0,26.0058304581563,0,0,0,27.7095284710865,0,0,28.2460747838904
"Feature0148",29.582289314221,0,23.7011237620549,29.0019239391458,23.1108724426172,29.2008357318669,24.3721893587417,0,0,29.3570470397051,0,0,23.1217577771245,22.8486058576439,0,22.9425292653339,29.2472477739288,29.4002657143574,29.1816781458294,29.0296737383313,29.3311858455016,23.2009291911357,29.3523261182431,27.7997863017048,0,23.3656147408976,29.149086187157,29.5055196638826,29.6812220590734,29.3493747829925
"Feature0149",29.7339207069606,27.8159586523705,28.910703232183,29.8175573577373,27.9148784189758,28.9534802736627,28.70116346762,27.8737271357306,27.6696043581831,29.7757966075068,28.7320365031682,27.5926573647216,27.9621513119579,27.9573350378402,27.6606108113203,27.9991987134607,28.5911317553055,28.8225610819225,29.5312436115456,29.4785709092919,29.6431459297465,27.6443700960009,29.5992776732339,28.8237497014411,27.3838609763889,27.7501866172257,28.9377626491197,29.9323858816087,29.6137164890985,28.6248750595775
"Feature0150",26.9663359576735,0,26.0318889584379,26.5433484635383,27.1277838531872,27.2484492450933,26.3029492782173,26.6410086962458,26.7708556024466,27.2359778910321,0,26.4438048978388,26.5842183224673,26.5818755719828,26.7928528409768,26.7670268627132,27.4623437900559,27.3424479407326,27.5255674429168,27.276741685788,27.1481363593172,26.6543565078651,27.0474994557128,0,26.5100360844866,26.2876544619189,27.0505671616478,27.1790393462555,27.2592244464322,27.1881602082947
"Feature0151",26.9699253997723,0,23.9584018034274,25.560479887813,24.5220108287483,24.7183619206744,25.3638379893819,23.1804903874891,23.5494461450548,26.3094836999047,0,0,24.1255259301013,23.4487991278152,0,0,23.216315401775,24.1150606623943,23.9823602998293,0,23.4879646093231,24.0547819599511,0,24.7452197767969,0,23.545630424899,23.9055709154098,25.6961147503362,26.9030065137338,23.4378066976945
"Feature0152",27.0208744314042,26.7135591166781,27.9958473342992,26.8307270041614,27.3400275357475,27.3226324046646,28.486384540984,27.0410588403616,27.3139543127924,26.7550970462169,28.0533364057364,27.3845370881517,27.0378908818108,27.1148446154504,27.0968851913156,27.1771326403563,27.7642567890872,27.5009398854985,26.6515077738032,26.7709052075834,27.2159529423519,27.9718599587128,26.7612661965647,27.3604454987551,27.5453172282507,0,0,0,27.0043989329683,27.9069190683083
