"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0125",0,0,24.2604269881542,0,0,0,0,0,0,0,0,0,24.2163848163011,24.0198054534736,0,28.6296165240973,23.6377847674812,24.9838847841393,24.7167964212828,24.8270559526951,25.0551966666576,0,0,0,0,0,24.5287165156174,0,0,24.5608804148127
"Feature0126",25.7224488865537,25.5812451058194,26.2351365503417,25.430063131713,0,0,0,25.7575779522921,25.8193689864033,25.765568335807,24.7692687001839,25.6978014865849,0,26.1627827773049,25.801363185492,0,0,0,0,0,0,25.8659114936565,0,24.7673326962626,25.5272904266928,26.1068819155695,21.9273179383664,25.4704804457718,25.9580952479583,21.9426394760088
"Feature0128",0,0,22.0722696435148,0,0,0,0,0,0,0,0,0,21.9423093428739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0129",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.8054794651275,0,0,0,0,0,0,0,0,0
"Feature0130",0,0,0,25.9611581803486,0,0,0,26.0494899845479,25.9734130824648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7684818515833,26.1426307573048,0,0,0,0
"Feature0131",24.6746467045253,24.5070121961641,25.3113352207273,0,0,0,0,0,0,25.3721005888961,26.5559537441767,0,0,25.3766563174347,24.5398488344647,0,0,0,0,0,0,0,0,0,0,0,0,24.3387438480492,25.2993795186613,0
"Feature0133",0,0,0,0,24.2911667568394,0,22.4637557274515,0,0,0,0,0,0,0,0,0,0,20.6112381432155,20.5239371827695,0,22.8662479014154,0,0,0,0,0,0,0,0,0
"Feature0135",0,0,0,0,0,0,0,27.5939534244095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0136",0,27.4205252376415,0,0,0,0,0,0,0,0,24.9127559371027,27.7553422293038,0,0,27.5695126440868,0,0,0,0,0,0,0,0,0,27.5984329326156,0,0,0,0,0
"Feature0137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7641501463599,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0138",0,0,0,0,0,0,18.5644311140926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0139",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.481106730227,0,0,0,0
"Feature0140",0,0,0,23.634652333584,0,0,0,23.0075830365709,23.1537572348153,27.0324883341888,0,0,0,23.569173417148,0,0,0,0,0,0,0,0,0,0,0,23.8683296335714,0,0,0,0
"Feature0141",0,25.8401379191345,0,24.5164913882493,0,0,0,26.0506435602018,25.9187282421645,0,26.7359023925718,25.1631610597198,26.4394330270012,26.2830127145822,25.8176262514261,0,0,0,0,0,0,0,0,0,25.61750892424,0,0,0,0,0
"Feature0142",0,0,0,0,0,0,0,0,0,0,0,0,19.588148851591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0144",19.5454163985087,0,0,19.045656194323,0,0,0,19.4641461561304,19.530584880166,19.6003857450579,0,0,0,0,0,0,0,0,0,0,0,19.5263238475594,0,0,0,0,0,0,19.4129423378487,0
"Feature0145",0,0,0,0,0,0,0,0,28.3793772481077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0146",0,0,0,0,0,0,0,0,0,0,0,0,0,21.5446456941905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0147",0,0,0,0,0,0,0,0,0,0,0,25.7094485573202,0,0,25.8501165105768,0,0,0,0,0,0,0,0,0,25.600193496883,0,0,0,0,0
"Feature0148",17.0721874785731,0,0,17.0465358550417,0,0,0,19.6636855127181,17.1441534871294,18.2065534842052,0,0,0,17.4213589063724,0,0,0,0,0,0,0,16.9770551331306,0,0,0,16.8901721165732,0,0,18.5161592694055,0
"Feature0149",28.7306829222311,27.0952200136333,27.9205934523775,28.9153830589578,27.371920452561,28.5785327858309,27.7883166916498,27.2515986783994,27.228178172642,29.0240592000612,0,26.9719829950794,27.4737391906788,27.3960433850125,27.1288470503623,27.3027287824651,28.3071273439837,28.552944834502,28.7938212504938,28.4732106645922,28.8670948320652,27.1428306454718,28.7283954305462,27.2846203230756,26.8932765415955,0,0,28.9793359286064,29.086335723182,28.458622615059
"Feature0150",23.0534695232305,0,0,22.7940678076979,0,0,0,18.0657195918083,19.2566240414478,23.6800803666847,0,0,0,18.4546540755328,0,0,0,0,0,0,0,19.0270885058694,0,19.0505023952762,0,19.5259221593938,0,23.1228949263822,23.7822620477477,0
"Feature0151",0,25.4750758342582,0,0,0,0,0,0,0,0,26.435946333066,25.2543936743811,0,0,25.447240795371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0152",0,0,22.9757406000552,0,25.0921492000373,25.6730651795437,23.9485720834608,0,0,0,0,0,24.7397317149899,0,0,0,24.9483516444398,25.6941780174169,25.9934884150678,26.1772879240619,25.626980522457,23.9545386203413,25.6977407774949,0,0,0,25.6424875440105,0,0,25.5761133482094
"Feature0153",0,0,24.9672779885088,0,26.1556222127512,25.0149471207006,0,0,25.5009198797468,0,27.8042103313709,25.2884733138012,26.114099682717,0,25.5366976894205,0,0,25.1857799159839,25.605701807922,25.7674914816213,25.0799379841201,25.3413357097558,25.4414141075911,0,25.2930798756108,25.6885532117884,24.9845469776151,0,0,24.8054993617569
"Feature0155",0,0,0,0,0,0,0,0,0,0,0,0,17.7430723069086,0,0,0,0,0,0,0,0,0,20.7874511093639,0,0,0,0,0,0,0
"Feature0157",0,25.7951709852391,0,0,0,0,0,0,0,0,23.2590415105507,26.5660523282663,0,0,26.3433497999976,0,0,0,0,0,0,0,0,0,26.2473895037008,0,0,0,0,0
"Feature0158",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9997218620777,0,0,0,0
