"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0073",771757.3542,NA,NA,707798.448,NA,NA,NA,856164.4457,715639.068,615397.6423,NA,NA,NA,1043666.656,NA,NA,NA,NA,NA,NA,NA,617996.4983,NA,705688.6491,NA,1412624.232,NA,654600.6855,741968.379,NA
"Feature0074",1362936.39,NA,NA,2887744.695,NA,NA,NA,1055582.034,1590226.834,1133066.42,NA,NA,NA,3374324.231,NA,NA,NA,NA,NA,NA,NA,1237664.914,NA,2485940.717,NA,7016480.92,NA,1345090.925,1079198.978,NA
"Feature0075",NA,184785133.9,NA,NA,NA,NA,NA,NA,NA,NA,2559990.192,120185996.6,NA,NA,141254980.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,114233299.6,NA,NA,NA,NA,NA
"Feature0076",NA,40748572.93,NA,3943075.507,NA,NA,NA,NA,NA,NA,2545504.715,51503197.21,NA,NA,53023615.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38705804.05,NA,3547294.169,NA,NA
"Feature0077",NA,46115130.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35624312.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0078",NA,NA,NA,939516.5258,NA,NA,NA,NA,NA,NA,NA,NA,NA,31247905.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,9587221.738,NA,NA,NA,974331.7091,335510.2551,NA
"Feature0079",NA,NA,NA,458115.2704,NA,NA,NA,NA,19782860.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29519465.52,NA,NA,NA,NA
"Feature0080",92693873.19,93998907.08,71968243.67,108188031.5,77336422.28,68050363.56,50976384.67,89172405.11,63801926.54,108988580.9,54021480.62,61436552.85,84980636.21,86084366.81,76539105.1,NA,40377383.87,63926020.38,115648461.6,102948000.5,98074036.22,46091069.82,93296947.83,88009952.4,58659660.04,91559026.32,69662222.92,102211110.6,100473794.4,37712057.29
"Feature0081",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,921558.1724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0082",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19921030.34,NA,NA,NA,72967174.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0083",161977776.7,887371543.5,277381689.3,370997544.3,739390499.3,154607638.1,358380595.3,842117920.3,671687482,214446082.2,115701857.8,577981590.1,837118919.8,815153448.7,780619131.3,868757169,94437153.54,119071498,227737129.8,311437828.1,114082077.8,461017375.4,155137350.6,165909508.7,585914509.4,882856962.7,164827597.2,211678334.1,158680662.1,72510954.4
"Feature0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14256238.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110573880.2,107646272.2,97844066.32,NA,NA
