"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0056",1659159.94,1324956.713,1370094.149,112698005.2,61668586.82,133341625.4,16819684.22,662251.6211,2125944.516,1179502.244,1426303.961
"Feature0057",133420558.9,11466306.86,8569444.58,1192388.015,1701636.846,445826.4863,1183698.282,1861368.935,2082302.727,2915964.698,2191015.725
"Feature0058",2759346.607,58781450.68,70475348.54,1183243.725,477406.6278,855416.4825,12123442.52,3633691.387,136613251.3,2408617.556,2091768.618
"Feature0059",542300.1153,644051.4156,524561.4011,2498062.078,3225740.319,4523561.857,136933185.4,27059180.21,490637.4113,462208.4246,601240.4866
"Feature0060",127814768.9,3516019.886,6677222.135,2328165.549,1770497.273,139610629.6,2121687.394,9179944.908,1795327.532,24537987.68,11446389.78
"Feature0061",52468444.13,7874026.927,7558924.674,1142916.765,77682.53104,36266617.67,36703840.74,4245408.344,7795019.244,116517938.8,147855468.1
"Feature0062",120200357.6,2799431.678,343507.6291,49660.34964,46074.27488,1648237.429,48239.56196,1311128.461,879935.5004,148167037.8,121122046.8
"Feature0063",122592239.5,134221038.2,148388599.8,71349450.09,42913144.03,82705487.23,57432440.37,56498596.13,144195146.5,137518571,112739450.7
"Feature0064",7052810.695,125786371.3,132393450.2,1471655.184,1074528.738,58573.2649,1302655.903,1239586.096,148605053.1,3276863.731,3117210.743
"Feature0065",102808402.2,101358524.2,120928903.7,123891642.6,114832420.7,152924829.8,137788937.2,133239903.8,135189886.1,116370341.2,99956685.35
"Feature0066",5911121.154,123780032.8,154394443.4,911596.2642,1748609.093,445826.4863,1224024.006,1848366.46,624895.0144,2964229.98,2166719.933
"Feature0067",13541119.58,10192815.02,14601457.63,34096361.18,67164831.57,59020248.97,88229166.35,155021980.8,10987349.95,8272609.69,6003899.27
"Feature0068",125878.2786,281991.927,125112.3344,180286.2844,122392.6908,274729.7208,255010.6908,137733.6312,133143673,156851875.9,119053925
"Feature0069",157299669.2,141213390.9,158063465.3,1700973.712,373765.1626,1772725.72,3074943.205,5571420.889,15127856.28,10384583.64,8066621.474
"Feature0070",430603.6114,227879.8714,336391.5595,2320257.749,429705.1608,4428413.404,530980.0359,364762.9094,159759254.9,161462448.4,134445327.6
"Feature0071",715521.8554,1030523.468,1561060.845,452164.5922,271962.9984,790335.6772,473189.0291,715264.6552,161539115.2,6709078.711,4207748.701
"Feature0072",100239796.3,99481210.59,113309726.2,132082004.8,122546195.4,164306708.1,145836107.9,131986592.5,132949762.8,122833384.2,105505174.6
"Feature0073",166162918.7,1230056.865,3377566.906,66186.13826,105710.027,125430.4941,125495.3224,110467.6216,243362.1068,44032386.94,53710028.78
"Feature0074",32253044.07,33004269.2,42927329.72,74305355.57,61953176.23,116777084.8,58661400.29,168114024.6,10793663.72,2209047.763,6813853.622
"Feature0075",356075.6981,389514.001,404554.3594,435255.5627,396612.2075,666773.6451,359641.7493,396316.0037,150400560.6,160169828.1,179989132.6
"Feature0076",95554010.95,2525995.762,11662306.7,5762113.624,3601868.132,3227608.31,66490960.16,181491511.3,50413568.21,471404.6695,736653.5987
"Feature0077",89930455.73,99466067.06,113440195.5,111357160.4,94645360.12,116582337,73511368.29,182573260.3,46038825.4,38069840.87,34104662.16
"Feature0078",15779401.26,19690900.27,18131543.37,55890165.67,16765415.18,60405621.51,54196442.37,47120259.83,188164646.6,151763984.3,159232642.5
"Feature0079",10337463.65,341148.8164,474474.7632,1067433.076,4210204.686,184865152.3,619433.8663,6767329.136,4286158.274,190707258.3,176056740.4
"Feature0080",147764258.6,154364535.5,180645989.5,136798901.5,89495362.42,163372184.5,123721801.8,191984064.6,59774526.92,37174004.93,23698726.98
"Feature0081",5628214.269,161979707.4,192665749.6,88917.9499,151887.6877,102892.1782,134558.3478,133656.8928,96082475.32,2203548.504,3251982.108
"Feature0082",777121.2662,1123813.319,978534.3407,757096.5716,965701.5111,927730.915,1181498.064,921494.3883,165804598.9,194486219.4,151041593.5
"Feature0083",1680037.796,191748902.2,169838496.6,175017724.6,197661146.6,605922.6837,168735453.1,171044968.9,170952026.2,698637.0328,1768558.15
"Feature0084",132463442.4,923743.5337,455071.0839,7609735.453,7407394.126,6146251.297,585062.9141,201259300.4,10486912.2,5287357.534,4487636.337
"Feature0085",569873.2685,632857.8907,506951.6386,7669348.869,3759523.743,17143428.37,128685226.6,201428792.3,745744.5671,429649.3422,588243.1933
"Feature0086",11086837.17,172361915.9,203843053.3,129282710.1,94659852.16,5829097.695,145852985.8,8856113.516,113610042.6,80251416.69,264834.9642
"Feature0087",120125.7388,173881.4262,128628.8168,126132.3516,125318.844,115960.097,204233914.8,79279624.93,197265.2551,115751.8644,113760.2027
"Feature0088",3268597.179,119910914.4,143125844.8,168206411.2,150583162.5,6275531.487,165700537.1,201259300.4,207382568.3,1708231.124,4586869.433
