"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0057",134966303.726824,1388879.63916887,5791132.64922183,15477430.4001566,12463949.4902646,9959845.02909217,134658161.078857,4873332.0751155,234016340.313691,21765633.8898779,279645.197582661,625464.747649191
"Feature0058",127023251.893612,54689876.1296653,56330813.1738773,299112931.836568,327511986.777972,359753073.522542,148875962.213537,175392971.288023,235411154.541115,19876875.4911826,22583671.4416161,28956980.5254592
"Feature0059",22287787.2096753,10826736.4788666,9003550.96910534,150124798.929277,58015252.1771541,186401375.675475,109759180.029871,51448467.5186247,60757170.8509256,81238502.933452,90028954.1478658,135198422.616185
"Feature0060",14601263.1482415,187575.39191173,235609.160613082,2867198.08366887,14569044.9030518,570462116.633825,1254483.69440307,4005574.27498547,8725838.3974068,1850512.77063642,113130760.847822,149483128.70602
"Feature0061",208711236.795827,84874948.5612599,89703084.8746616,367451184.573192,309690870.386313,504138508.580136,250562637.021044,247316540.164283,247545507.084216,25807149.0488805,21486655.2990355,20121693.9906504
"Feature0062",7949632.55772673,89062032.8627421,95671717.5767088,238839.681183951,525594.052393776,317507.594215401,272508.918941098,2626187.79075872,172338.070726921,41482800.2718825,1307182.12324381,2761135.18230194
"Feature0063",1097653.39836342,617911.344296979,485909.204292538,2033613.05551655,3341725.57570538,2862818.30216811,2392781.75910867,30603509.8652407,1188180.88419086,71584740.4786478,115372504.283642,128243712.281764
"Feature0064",2372987.68720581,105430163.464606,84336425.7222811,470109551.468691,683989101.522771,1869773.35836133,341724736.243509,6864288447.43319,220546500.298204,73807098.9044563,414443.266510579,1501615.92768266
"Feature0065",187099432.26783,507906.072159845,225973.907176533,20440268.7143907,25632639.1909526,18966276.1241239,1184875.29640966,9950417.63323852,259505056.717778,4527636.10442512,3136549.63124119,3810282.51815563
"Feature0066",804923.706262993,347967.107507993,251736.149750972,20600394.4177806,13009502.9365174,52901676.2360927,260614614.832958,58454589.1278343,259723600.68089,321968.942076281,254875.233455402,499455.077804589
"Feature0067",15659723.9402022,94770529.374169,101222013.075912,347262181.568597,327562135.21427,17987594.5670862,295382933.385641,232720235.702664,11419130.6225402,49050179.9663237,47259204.5981823,224861.365429226
"Feature0068",169672.908411699,95606.0085736695,63873.0021224064,338800.103657429,433654.89366959,357832.94772794,413616577.813363,75356562.2671495,102223666.300809,85167.6140798997,68665.9574777491,96589.4914513994
"Feature0069",4616765.69340863,65931158.725468,71071767.7120202,451813898.872905,521079857.09131,19365212.5916445,335578393.844401,154703524.529764,259505056.717778,89535678.9259177,1013351.5026368,3894537.591989
"Feature0070",276740483.647611,99080286.3182032,104313747.618516,244954300.431753,101168538.599458,264223706.762831,273542924.565741,603100022.547896,124697736.963271,57320041.6978349,57424410.1886697,52994663.7222404
"Feature0071",131021883.796374,1095302.65596291,373751.72499271,3288449.02459873,4354209.36295064,10772611.905692,4432423.77481091,6630896.96740188,271219895.429932,1165966.22240017,1049968.70904536,1041549.81493859
"Feature0072",180533362.740344,71467114.7487443,80744414.7332375,263784775.456992,294624868.398712,21579979.0541306,144486947.720615,74211330.3619844,281705897.352247,21165917.8777527,78184.8133229542,102516.951959327
"Feature0073",276279.423925225,111890.67429709,97289.5487033848,501114.247569949,684999.661355619,562990.495332385,556836.399944365,7729173.99712223,263422.021169613,95536137.034797,124295222.922095,188013842.305285
"Feature0074",899971.150165119,85150.8374832314,1062532.02256018,21722740.228333,4667116.12125069,652889167.753038,2451802.93773987,96899155.0079017,8364968.64392128,144831.851074646,132454318.471775,179567416.66068
"Feature0075",741395.88682634,308113.254312404,286238.426640435,1648273.14533,2036139.00858896,2853295.83815141,1350778.30189719,22642177.8987041,740400.47667015,85707535.255316,103272864.660746,198935864.091612
"Feature0076",347515.941067777,233042.848375051,125309.436648997,675864.068988241,965567.380370471,757747.635468095,550708.460831547,10216733.7941748,362159.553029404,98673217.7669948,124988267.085864,200888885.355115
"Feature0077",273459519.763407,119379057.416918,118937291.743189,9494943.49597407,16942064.0717019,18360860.208048,6200645.58966397,55692451.0662667,5127044.13911137,69475764.3875105,83388856.4512297,98963482.0141166
"Feature0078",258076681.902333,103665890.396786,119408276.36623,402350014.820424,360828221.913696,466636042.396834,333654940.266147,231700027.711635,235330844.757805,70590392.7191832,83367260.9253557,87670902.5551087
"Feature0079",899163.259399009,92512.6237916179,13007418.3279964,21703240.0498005,835395242.045395,652889167.753038,2449601.99008241,96812170.0663712,296184578.967407,1443435.41497285,132454318.471775,179567416.66068
"Feature0080",231305718.051978,91619747.5876718,122457986.675128,42814240.0337066,59562216.3297819,2896712.26956412,34630743.1173481,10333086.6874599,1604954.58661223,58166277.5704136,71889526.5445108,85484135.9029431
"Feature0081",201914.858174786,39478278.8977759,44762554.2765898,516576716.505543,553253629.844065,763436261.481105,293460047.676287,25315933.4330107,271219895.429932,58497566.6618315,49574050.3433574,54113605.7403431
"Feature0082",235005234.636686,94770529.374169,101222013.075912,347262181.568597,327562135.21427,499520107.374267,295382933.385641,232720235.702664,319149455.508763,49050179.9663237,47259204.5981823,55189525.333712
"Feature0083",209324566.864885,54873148.5516802,71238256.3115445,23345615.7789353,35321195.4709624,33583224.795886,12110530.9940591,28345208.023116,8386441.3862141,68958504.8530223,148899432.114808,187825226.187394
"Feature0084",711285.330100012,378207.336676317,481883.881485517,6927421.00721189,2807259.2056152,5919173.11392531,2856541.7606068,11714152.4802335,1672888.02581551,108745082.097995,111053844.436736,100460621.303642
"Feature0085",250306.705286781,368489.913845785,149471.346768928,1582068.88624416,2636194.75272768,1583405.00398795,1146758.35642021,7810662.65335532,231617.424989709,101355697.362021,138867734.42174,217250185.310392
"Feature0086",362781710.215071,134492863.969693,111461428.587912,26566400.904614,21489956.3243019,31141663.6984311,21808874.8404311,4922084.68345463,16557912.7786066,35858533.5321047,43968258.2037404,61191919.6250216
"Feature0087",14402220.0771658,6599244.16303214,5255344.73638467,372978231.174716,36104141.8965653,393847828.359339,530472418.577683,421959162.096951,185965533.599304,6898586.09065623,7364770.54014205,9065995.60051924
