FeatureID,Name,Formula,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0040,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,C14 H27 N O11,Carbohydrate,26.52644881,21.07146412,0.794356767,-0.332140989,0.003551398,0.020044274,Downregulated,1154
Feature0133,methyl N-acetylneuraminate,C12 H21 N O9,Carbohydrate,26.28436865,20.82544671,0.79231299,-0.33585764,0.005130125,0.024259404,Downregulated,1154
Feature0077,NP-016455,C11 H18 N2 O4,Protein,28.05981637,21.14061645,0.753412502,-0.408488122,1.11E-04,0.005080207,Downregulated,1154
Feature0248,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,Carbohydrate,28.48113499,21.21777624,0.744976499,-0.424733179,0.002162446,0.016005731,Downregulated,1154
Feature0089,[Similar to: NP-017684; ΔMass: -74.2514 Da],C24 H45 N4 O14 P3,Amino Sugar,27.27190632,19.5412483,0.716534007,-0.480892919,0.009116134,0.03569812,Downregulated,1154
Feature0022,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",C13 H21 N3 O3,Lipid,18.4968657,27.21744748,1.471462675,0.557250947,0.002772465,0.027169524,Upregulated,1177
Feature0174,Penicillic acid,C8 H10 O4,Phenol,20.42629018,28.76662109,1.408313543,0.493968567,3.97E-04,0.008361868,Upregulated,1177
Feature0213,NP-019445,C10 H10 O4,Phenol,19.58550134,27.39107806,1.39853852,0.48391999,0.002613347,0.027169524,Upregulated,1177
Feature0011,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],C4 H11 O6 P,Other,19.24868462,26.53745738,1.37866342,0.463270288,4.50E-04,0.008361868,Upregulated,1177
Feature0216,L-Glutamine,C5 H10 N2 O3,Amino Sugar,20.35632919,27.77695879,1.364536726,0.448411225,0.003423149,0.027287384,Upregulated,1177
Feature0047,Butyl glyoxylate,C6 H10 O3,Protein,19.42171145,26.04820384,1.341189931,0.423513558,2.32E-04,0.008361868,Upregulated,1177
Feature0200,"pentane-1,2,3,4,5-pentol",C5 H12 O5,Carbohydrate,21.14107092,27.98343236,1.323652546,0.40452447,5.89E-04,0.009671393,Upregulated,1177
Feature0138,Adipic acid,C6 H10 O4,Amino Sugar,20.74634871,26.6903007,1.286505933,0.36345811,3.58E-04,0.008361868,Upregulated,1177
Feature0252,DL-Carnitine,C7 H15 N O3,Protein,22.94810108,29.28939088,1.276331788,0.352003413,3.84E-04,0.008361868,Upregulated,1177
