FeatureID,Name,Class,BiogeochemicalClass,FIShScore,1246,1154,1177
Feature0132,"[Similar to: 4-[(7R,11S,14S,16R)-14-[(4-methoxy-6-methyl-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxan-2-yl]oxy}oxan-2-yl)oxy]-7,11-dimethyl-2-oxapentacyclo[8.8.0.0Âa,Âl.0Âl,â·.0ÂaÂa,Âaâ¶]octadec-5-en-6-yl]-2,5-dihydrofuran-2-one; ΔMass: -155.1501 Da]",Amino Sugar,Carbohydrates,,-0.058876403,-0.2172519,-0.2786496
Feature0133,"[Similar to: 4-[(7R,11S,14S,16R)-14-[(4-methoxy-6-methyl-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxan-2-yl]oxy}oxan-2-yl)oxy]-7,11-dimethyl-2-oxapentacyclo[8.8.0.0Âa,Âl.0Âl,â·.0ÂaÂa,Âaâ¶]octadec-5-en-6-yl]-2,5-dihydrofuran-2-one; ΔMass: -155.1501 Da]",Amino Sugar,Carbohydrates,,0,0,-0.1760874
Feature0134,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],Carbohydrate,Other,,-0.341971378,-0.354099569,0
Feature0135,"[Similar to: 5-[4-Bromo-3-(trifluoromethyl)anilino]-3,3-dimethyl-5-oxopentanoic acid; ΔMass: -90.9560 Da]",Amino Sugar,Other,,-0.30427523,0,0
Feature0136,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]",Amino Sugar,Nitrated lipids,,0,-0.195853118,0
Feature0137,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]",Amino Sugar,Nitrated lipids,,-0.130506753,-0.502080166,0
Feature0138,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]",Amino Sugar,Nitrated lipids,,0,-0.338484077,0
Feature0140,"[Similar to: 6-(2-hydroxy-3-methyl-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}butyl)-5,7-dimethoxy-2H-chromen-2-one; ΔMass: -88.0700 Da]",Phenol,Phenols,,-0.04828132,-0.268220473,0
Feature0141,"[Similar to: [(2R,3S,4S,5R,6R)-6-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl (2E)-2-methylbut-2-enoate; ΔMass: -42.0492 Da]",Phenol,Phenols,,-0.082541292,-0.478201662,-0.4235191
Feature0142,[Similar to: D-(+)-Glucose; ΔMass: 45.0579 Da],Carbohydrate,Carbohydrates,,0,-0.50400838,-0.4504751
Feature0142,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],Carbohydrate,Carbohydrates,,0,-0.50400838,-0.4504751
Feature0143,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],Carbohydrate,Lipids,,0,-0.057851447,0
Feature0145,[Similar to: D-(+)-Glucose; ΔMass: 31.0422 Da],Carbohydrate,Carbohydrates,,0.349334784,0.281559583,0
Feature0146,[Similar to: D-(+)-Glucose; ΔMass: 45.0579 Da],Carbohydrate,Carbohydrates,,0.069497255,0,0
Feature0149,[Similar to: Dimethyl phosphate; ΔMass: 60.0212 Da],Other,Other,,0,0.42523275,0
Feature0150,[Similar to: HQH; ΔMass: 27.9858 Da],Other,Nitrated lipids,,0.298310132,0,0
Feature0151,[Similar to: Irgarol 1051; ΔMass: -56.0639 Da],Other,Other,,-0.212265107,0.358914492,0
Feature0153,[Similar to: Muramic acid; ΔMass: 162.0529 Da],Carbohydrate,Carboxylic acids,,-0.166190534,-0.10931576,-0.1639439
Feature0153,[Similar to: N-Acetylneuraminic acid; ΔMass: 1,Carbohydrate,Carboxylic acids,,-0.166190534,-0.10931576,-0.1639439
Feature0156,[Similar to: N-Acetylneuraminic acid; ΔMass: 120.0423 Da],Phenol,Amino acids & derivatives,,-0.272213475,-0.05835612,0
Feature0156,[Similar to: N(6)-OH-Me-Adenosine; ΔMass: 132.0422 Da],Phenol,Amino acids & derivatives,,-0.272213475,-0.05835612,0
Feature0156,[Similar to: N-Acetylneuraminic acid; ΔMass: 120.0423 Da],Phenol,Amino acids & derivatives,,-0.272213475,-0.05835612,0
Feature0157,[Similar to: N1-phenethyl-3-(2-thienyl)acrylamide; ΔMass: 0.0001 Da],Amino Sugar,Other,,0.377783256,0.558251985,0
Feature0158,[Similar to: NP-004022; ΔMass: 150.0295 Da],Phenol,Lipids,,0.528414394,0,-0.0711302
Feature0158,[Similar to: NP-015005; ΔMass: -441.3129 Da]-peak2,Phenol,Lipids,,0.528414394,0,-0.0711302
Feature0159,[Similar to: NP-010746; ΔMass: 146.0345 Da],Phenol,Phenols,,0.349589597,0,0
Feature0160,[Similar to: NP-015005; ΔMass: -441.3129 Da],Amino Sugar,Lipids,,-0.031647326,-0.232870915,-0.3141995
Feature0161,[Similar to: NP-015005; ΔMass: -441.3129 Da],Protein,Lipids,,-0.079667229,-0.319069404,-0.4304657
Feature0162,[Similar to: NP-016129; ΔMass: -205.0627 Da],Carbohydrate,Lipids,,-0.097404994,-0.204848899,0
Feature0165,[Similar to: NP-016755; ΔMass: -960.7865 Da],Carbohydrate,Lipids,,0.031405908,-0.059140177,0
Feature0168,[Similar to: NP-020414; ΔMass: -0.0036 Da],Protein,Lipids,,0,0.518252881,0
Feature0169,[Similar to: RPH; ΔMass: -155.0695 Da],Lipid,Lipids,,0,-0.309759329,0
Feature0172,[Similar to: Trimethoprim impurity C; ΔMass: 188.0284 Da],Phenol,Amino acids & derivatives,,0.034900952,0,0
