FeatureID,H_to_C,O_to_C,Class,Fungi,GFE,Name,Comment,log2FC,pval,pval.adj
Feature0151,2.5,0.666666667,Other,1246,69.8,[Similar to: Irgarol 1051; ΔMass: -56.0639 Da],Downregulated,-0.212265107,0.004481987,0.017977202
Feature0150,2.833333333,0.166666667,Other,1246,88.8,[Similar to: HQH; ΔMass: 27.9858 Da],Upregulated,0.298310132,2.42E-04,0.005044472
Feature0146,2.375,0.75,Carbohydrate,1246,74.55,[Similar to: D-(+)-Glucose; ΔMass: 45.0579 Da],Upregulated,0.069497255,0.001090168,0.00746433
Feature0145,2.428571429,0.857142857,Carbohydrate,1246,68.44285714,[Similar to: D-(+)-Glucose; ΔMass: 31.0422 Da],Upregulated,0.349334784,0.0022533,0.01142298
Feature0141,1.466666667,0.5,Phenol,1246,83.1,"[Similar to: [(2R,3S,4S,5R,6R)-6-{[(2R,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]oxy}-3,4-dihydroxy-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}oxan-2-yl]methyl (2E)-2-methylbut-2-enoate; ΔMass: -42.0492 Da]",Downregulated,-0.082541292,0.018896739,0.04471367
Feature0140,1.272727273,0.545454545,Phenol,1246,-12.24545455,"[Similar to: 6-(2-hydroxy-3-methyl-3-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}butyl)-5,7-dimethoxy-2H-chromen-2-one; ΔMass: -88.0700 Da]",Downregulated,-0.04828132,0.001605642,0.0090163
Feature0137,1.75,0.625,Amino Sugar,1246,10.425,"[Similar to: 5-O-[(4-Acetylphenyl)carbamoyl]-1,4:3,6-dianhydro-2-deoxy-2-(5-phenyl-1H-tetrazol-1-yl)-D-glucitol; ΔMass: -161.0514 Da]",Downregulated,-0.130506753,5.44E-04,0.005768213
Feature0135,1.833333333,0.666666667,Amino Sugar,1246,-15.7,"[Similar to: 5-[4-Bromo-3-(trifluoromethyl)anilino]-3,3-dimethyl-5-oxopentanoic acid; ΔMass: -90.9560 Da]",Downregulated,-0.30427523,0.012245314,0.033107701
Feature0134,1.823529412,0.764705882,Carbohydrate,1246,60.3,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],Downregulated,-0.341971378,0.012209322,0.033107701
Feature0132,1.64,0.68,Amino Sugar,1246,51.18,"[Similar to: 4-[(7R,11S,14S,16R)-14-[(4-methoxy-6-methyl-5-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}methyl)oxan-2-yl]oxy}oxan-2-yl)oxy]-7,11-dimethyl-2-oxapentacyclo[8.8.0.0Âa,Âl.0Âl,â·.0ÂaÂa,Âaâ¶]octadec-5-en-6-yl]-2,5-dihydrofuran-2-one; ΔMass: -155.1501 Da]",Downregulated,-0.058876403,0.002378942,0.011733969
Feature0129,1.476190476,0.571428571,Phenol,1246,65.72857143,"[Similar to: 3-{[(1,5-Dimethyl-3-oxo-2-phenyl-2,3-dihydro-1H-pyrazol-4-yl)amino]carbonyl}-2-pyrazinecarboxylic acid; ΔMass: 136.0723 Da]",Downregulated,-0.353581611,0.008984509,0.027249861
Feature0127,1.681818182,0.454545455,Protein,1246,91.39090909,"[Similar to: 3,5-Di(acetyloxy)-2-[(acetyloxy)methyl]-6-(2H-1,2,3,4-tetraazol-5-yl)tetrahydro-2H-pyran-4-yl acetate; ΔMass: 137.0676 Da]",Downregulated,-0.172590357,0.013932474,0.036066334
