FeatureID,Name,BiogeochemicalClass,10_CTRL_1154.3,14_CTRL_1177.3,19_CTRL_1246.2,2_CTRL_CTRL.2,40_CTRL_CTRL.3,41_CTRL_CTRL.1,46_CTRL_1154.2,47_CTRL_1177.1,57_CTRL_1246.3,59_CTRL_1154.1,60_CTRL_1246.1
Feature0056,2-Acetamido-2-deoxyhexitol,Amino acids & derivatives,22.6841333718631,22.3750285391968,26.356590187738,24.6767411941525,24.3691426321058,24.4975905029622,23.010571084849,23.5951596286901,26.9822425142264,23.0390669135859,27.3180878657529
Feature0060,2-Methylhippuric Acid,Benzoic acids,24.8790497048675,25.3317288407814,23.8774289644877,23.6131989734426,23.4913212613163,23.4758115717444,25.0954660550877,24.7254918058059,24.3367395398388,25.3565755563536,24.4724376456209
Feature0061,2-O-(beta-D-glucosyl)-sn-glycerol 3-phosphate,Other,21.798080210419,22.9813926305625,24.2036451930405,23.1001524506247,22.8744274171374,22.7773107525864,20.8838804225719,22.6398204900525,23.9183005261083,20.4173060688694,24.2231761433346
Feature0062,2050867,Other,20.4328658190038,19.3711216015608,25.4936913387445,20.1447162949158,20.4928555769358,20.5993293236433,21.0252305132299,19.2739449412332,23.6255655116637,20.2138505047125,23.7212554022733
Feature0063,"3',4'-Dimethoxyacetophenone",Phenols,30.1815330439504,28.1216959866785,18.0453691733425,17.845370965209302,17.6396982428475,17.880610882221,31.0658228513581,26.8025256572217,16.6862091913915,30.4357579226623,17.2269890059659
Feature0066,"3-(1-hydroxyethyl)-2,3,6,7,8,8a-hexahydropyrrolo[1,2-a]pyrazine-1,4-dione",Cyclic amines,25.686429352419,25.9644667253842,25.3219888033656,24.991476362186,24.7601994010346,24.809588575274802,26.0434178840406,25.7067586900285,25.829185340208898,26.2415096015675,26.0055970876563
Feature0067,"3-(propan-2-yl)-octahydropyrrolo[1,2-a]pyrazine-1,4-dione",Cyclic amines,26.2000888277674,26.4372535798815,25.42761959699,25.4855623416307,25.2897474890086,25.3382085368207,26.3415983767499,26.0778940959705,25.8786905008278,26.7055194899109,26.0587246251795
Feature0069,3-Carboxytyrosine,Benzoic acids,19.5412834678017,17.8034968368778,27.4863203510783,20.3693016822166,20.3324225628033,20.4781736078115,19.4706031144523,17.7321748007559,26.2383769581772,20.2112874861785,26.4091786949377
Feature0070,3-hydroxy-3-methylpentanedioic acid,Carbohydrates,24.7974963045023,25.9550508108781,29.0828528916869,29.5234601915428,29.0577535666577,29.5042528846907,25.2949600704978,26.4085700464778,29.4402556200071,23.4418798300806,29.5214700567739
Feature0071,"3-Hydroxy-4,5,6-trimethoxytetrahydro-2H-pyran-2-carboxamide",Amino acids & derivatives,25.9249347985288,25.6124667454555,24.2921164751608,18.1930357342803,18.3704552064278,18.2279900766371,27.6249964293697,27.7033772453213,23.3978257683864,26.8923752860055,25.0145028861482
Feature0073,"3-Methoxy-4-(methoxycarbonyl)-5-methylphenyl 4-[(2,4-dimethoxy-6-methylbenzoyl)oxy]-2-methoxy-6-methylbenzoate",Carbohydrates,20.9763708409788,20.2008432811615,28.6971284550177,20.4552175507624,20.2256361005244,20.2547618473654,21.5384732298137,20.5663364633069,29.062668057582,20.5413351888898,29.6796627814964
Feature0076,3-O-(2-Acetamido-2-deoxy-beta-D-glucopyranosyl)-D-galactitol,Nitrated lipids,19.9690481328778,19.4968868948182,24.5100680083248,26.7554257640573,26.4993011561676,26.7020768771945,21.7246732984687,19.3074437064185,23.4676352869619,21.2191409211012,22.6532580414508
Feature0077,3-oxovaleric acid,Carboxylic acids,24.7030537758218,25.5759478993531,23.9714620866679,22.9508231991121,22.7459120275155,22.6325685625314,24.5224257783967,24.0144927112446,24.479251180747,24.9105748090666,24.7993136712231
Feature0079,3603307,Other,23.3801640050905,21.9974592818398,22.573966184058,21.9259478133143,22.2081463086474,21.711255300036,22.9989588326998,21.0293742202898,21.188025045504,22.7208124953957,21.3393641422806
Feature0081,"4,5-Dideoxypentonic acid",Carboxylic acids,26.0904370558546,27.180139791274,23.1645404736528,23.3127757548024,22.9739066458673,23.1736164373896,27.3222609307036,27.6535459222856,23.858071979649,27.4105887728782,23.4461013455258
Feature0082,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Carbohydrates,20.7285286450287,19.9928305218281,28.4679836988177,20.1112175242583,20.9035318993079,20.1101628561862,20.664857054144,19.5981237144942,28.1574697391949,19.8072463643101,28.4307632942342
Feature0083,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",Carbohydrates,19.9986424201067,20.0980233564043,29.6966611669333,19.5923033566402,21.6833550512699,19.6066454270792,20.644319898202,19.5183956602252,29.3477997131118,19.4965646684864,30.0769549753484
Feature0086,4-guanidinobutanal,Amino acids & derivatives,21.9836904856553,22.7972620744213,25.3585741109094,25.6009488000825,25.4698798762048,25.5362134618042,21.8310931451322,24.0737660709162,25.7409326957319,22.5302654199967,25.4159554452273
Feature0087,4-Guanidinobutyric acid,Amino acids & derivatives,20.8482496560992,23.8694984718175,26.3133660098303,25.2238902792766,24.9371398598599,24.9850898205499,19.7357740788482,21.7280932319592,26.7532136041587,20.3552211124622,26.62009521689
Feature0089,"4-Hydroxy-N-(2-hydroxy-8-methyl-4-oxo-7-{[(2R,3R,4R,5R)-3,4,5-trihydroxy-6,6-dimethyltetrahydro-2H-pyran-2-yl]oxy}-4H-chromen-3-yl)-3-(3-methyl-2-buten-1-yl)benzamide",Lipids,20.1198009848632,18.9150095240946,27.9654070403064,20.1842279198486,20.1153378125749,20.1371082251841,20.3369814060942,18.8355024778675,27.2177218464944,19.6657348630988,27.9170235608054
Feature0090,"4-methoxy-6-(prop-2-en-1-yl)-2H-1,3-benzodioxole",Benzoic acids,20.6186284248071,20.0591377929368,29.9948050080157,20.2012961142711,20.1645115200164,19.6200751477577,21.0794261072753,20.1881721358538,30.341593536648,20.3082881960683,30.9113001854155
Feature0091,4-Methoxycinnamaldehyde,Phenols,26.5820892724898,24.1097114530453,18.6469801319077,21.0827268030557,20.7981310058708,20.7099500300098,28.0038977921099,23.7499821659549,19.153461806642,27.0004009528468,19.7176087354181
Feature0093,4-Phenylbutyric acid,Benzoic acids,28.1446407167383,24.659017699411802,20.753624778658,21.1829476146113,20.6333228406154,20.7035027894794,27.8261289682068,20.2311667444786,20.4008129577811,28.0400478061881,21.1342210386861
Feature0095,"5-Amino-6,6-bis(ethylsulfanyl)-1,2,3,4-hexanetetrol",Amino acids & derivatives,25.387224011769,25.3319118571296,24.2143407158592,23.2643007686304,23.026567141075,23.0704305284119,22.3432794081098,19.7866218588136,24.6896881468572,25.2768796719165,24.8086189284539
Feature0096,5-Aminolevulinic acid,Amino acids & derivatives,21.0147234703703,20.604217308441,27.6911504655004,20.7222094926466,21.1519382279211,20.7312210330053,22.4659056945744,21.3871108773096,27.42504360142,21.9518856511529,27.295627882275
Feature0097,"5-hydroxy-4-methoxy-5,6-dihydro-2H-pyran-2-one",Phenols,23.5605999051564,23.2030798759806,24.3489975625588,26.8314228805928,26.9281011199333,26.6131730724426,22.9410162940007,23.1118774353061,25.1539075032687,23.4212466102194,25.2899600562373
Feature0098,5-Methylhexan-3-one,Amino acids & derivatives,25.0341586134586,25.9896182188567,22.6693353315112,21.9367395633601,21.5142238450584,21.8114340103802,25.7101373454886,25.4236884505948,23.1161993282755,25.6295604530524,23.4437202686139
Feature0100,6-(alpha-D-glucosaminyl)-1D-myo-inositol,Carbohydrates,24.1357880795893,24.2357412388001,25.4162612373122,27.0596464391419,26.9403449051277,26.7212866120358,23.9562602294565,24.3558360216757,26.1115953772684,24.3620788720494,26.0687638790069
