"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0054",29402652.45,9332203.984,7049307.549,7239567.004,8383452.96,7614832.775,190686286,9812330.552,6449029.184,61675063.31,6586445.032
"Feature0055",25198301.3,84545387.52,3523890.867,167707.1493,474893.9921,181447.6341,15486844.53,89561734.24,3413524.494,28929728.85,2911575.983
"Feature0056",6010646.111,4898098.747,136326064.6,46293405.93,40448894.35,51587754.12,6101483.971,16149094.22,127445015.5,6934666.429,129192682.1
"Feature0057",8139042.293,4946515.209,337594.4326,641220.2545,156796.7797,26386040.56,1356788.226,6528718.669,223124025.9,211565050,211526532.3
"Feature0058",8080869.992,4911160.906,252884209.8,7449005.946,231344581.5,233511401.7,241718588.6,229718667,223124025.9,198107.5816,242459.2962
"Feature0059",82863665.98,90470131.94,84991648.65,77793536.09,88208921.64,93378956.93,90139046.28,98724271.76,28365912.15,28803407.37,26968634.75
"Feature0060",27291808.91,37917412.59,24450480.38,22164573.03,22051631.79,25429914.03,25737372.39,35275171.26,20352885.57,34387441.73,17945400.13
"Feature0061",931946.2033,4370958.592,14151105.96,2987802.459,2731361.074,2411965.566,350157.9562,2596453.594,13058528.23,494539.5197,10732302.76
"Feature0062",196468.3664,259638.5164,11662247.65,169307.3942,220971.0957,224479.0055,294602.0221,309022.3359,5323748.547,219115.2208,4333951.713
"Feature0063",389754475.2,179747755.4,261346.2088,113156.7877,110537.6974,123705.5711,488185815.9,54620662.42,86474.71703,624899771.4,88271.09736
"Feature0064",175272176.2,169016198,170869403.3,174269768.9,191839352.2,170042987.1,197821865.1,171015929.5,696335.5276,565360.1076,1508761.027
"Feature0065",1939735.451,2488083.326,1596605.001,1718251.685,3010336.152,11166842.08,5526368.096,9097429.377,269126735.9,250069102.1,253299883.6
"Feature0066",62434821.05,69389081.35,64946688.71,50925025.39,47095178.26,56851447.48,61622105.33,72647980.29,59709117.25,74593470.47,51182809.86
"Feature0067",91123558.37,97869577.35,70775293.32,69118287.63,65141269.31,78605038.48,78919591.46,95829168.24,63382716.57,107332854.3,54354980.13
"Feature0068",32493208.66,41027607.17,40100582.26,35208616.13,31163641.23,37730835.66,16052188.76,37623818.43,36745927.23,33233406.3,30908198.88
"Feature0069",106728.6247,88846.47889,47696547.9,198408.449,196843.3139,206513.4791,98992.93618,104244.8096,34326390.42,223886.886,29077714.22
"Feature0070",35025153.89,67162907.55,901012028.2,1049730560,789104165.2,1249718157,38874445.34,116215686.4,806504324.1,12557157.44,668775672.8
"Feature0071",39489605.65,40007427.51,33284757.05,464149.31,610671.6469,618004.614,110729122.3,221915981.6,11472395.37,79661274.74,26675784.68
"Feature0072",1246764.581,2879158.587,2720498.736,1219940.798,85422.16632,662498.9073,716763.9068,1552318.95,2065768.198,1013677.927,1219816.918
"Feature0073",681481.4518,749537.8791,436545553.5,731621.0241,708441.0906,687572.1814,680179.8238,741603.0184,460374444.9,671866.4303,498996248.6
"Feature0074",78791992.12,66916209.06,50352439.41,96258731.53,97437591.7,111989171.5,67432516.47,181291876.6,473532.1994,3851171.055,285658.591
"Feature0075",131010.6094,204511552.8,197184.0945,123907.7896,180606.4131,133603.6271,130165.6387,81868570.91,120228.6495,120444.9356,118159.9589
"Feature0076",343063.2189,461639.1695,24324495.33,59004774.41,56254266.7,61701405.71,782135.9987,312580.0298,9536808.409,1083997.88,3842507.615
"Feature0077",21178031.78,43005901.08,26181047.2,13713599.88,13242937.56,14021964.99,15675924,20286757.66,22622590.75,23115241.26,22187204.75
"Feature0078",1658184.929,21614220.94,26410384.73,43575977.23,41881817.22,51476144.92,2532458.461,7244334.644,1494065.816,76236.10677,757287.1146
"Feature0079",1827765.918,1705611.399,2314221.649,705880.5527,878167.3465,595182.0539,1173099.972,854987.0939,1480962.549,1598561.419,1130657.348
"Feature0080",1346343.956,18647695.67,1274645.289,1764755.193,1102992.983,1473065.598,1942131.991,6041270.864,776533.5318,1159855.754,1685032.979
"Feature0081",75354939.13,150298614.9,14801705.6,16928225.69,14533351.06,19536161.7,136780242.7,269702607.1,15094461.08,155666416.3,8884375.068
"Feature0082",353047.6641,452914.3252,196941397.9,262521.2605,473820.3972,260923.871,255252.0086,287245.797,230989214,258868.7887,182365100.6
"Feature0083",266352.9376,589510.4921,633130936.1,260443.4698,1185244.923,265467.8576,295372.3839,297320.7731,562787322.4,259936.9435,620030545.2
"Feature0084",104478.7551,834938.574,889767.2124,26072454.92,407948.6607,862640.4481,298670.611,200457.702,41422019.2,9885742.767,14001081.39
"Feature0085",5275135.287,27352952.97,47175452.31,26072454.92,24329749.42,29572279.3,7940291.743,23456778.51,1576929.924,704806.4087,986067.196
"Feature0086",3366199.366,6371419.491,68353474.59,87263522.84,87700228.96,105845510.5,2517588.844,21711045.72,53924154.53,4579809.188,34105297.8
"Feature0087",1178455.498,12002564.84,135016167,60931057.24,58028476.03,67068677.8,470478.2205,3550288.446,117229456,861566.7528,81105448.19
"Feature0088",730274.5974,1057494.505,938297.7058,695785.0113,667540.3045,836635.4715,823998.0637,893268.9385,753379.8376,889836.1573,131995.1117
"Feature0089",178766.3747,199942.6284,85232025.11,195163.2261,188979.8737,183412.9975,181524.984,197825.9683,87710256.15,179223.4172,100447393.3
"Feature0090",600307.6428,692874.3561,1262630331,809990.4968,918753.3326,617131.915,561174.6192,631276.2147,1159643148,619738.1238,1246987609
"Feature0091",25079485.52,9348370.137,291789.5884,710065.1493,620946.7849,552437.6299,47808364.73,5517676.248,480274.9264,46359963.05,470268.3231
"Feature0092",45516479.27,26837292.39,19409727.45,50631830.34,52458471.29,68465700.18,42593792.25,114053546.8,565519.9326,2050925.241,442959.052
"Feature0093",112878755.5,16843801.7,2145783.319,1674642.821,1337320.89,1382879.538,61612131.17,662102.79,1190572.287,133340722.9,1439613.886
"Feature0094",61907353.23,44536502.99,32985438.69,67047305.8,58276318.24,62529988.7,39543233.07,90157218.38,28602361.07,72074836.46,27774530.76
"Feature0095",27113013.78,32872422.55,31548664.24,15576542.18,15379342.15,17702587.25,2836738.207,915560.7335,28110400.34,25943781.45,23138061.77
"Feature0096",717960.2607,997279.7199,224657089,928641.838,1428455.945,1019935.685,1324780.944,1335304.548,148582106.3,1818580.696,96521060.45
"Feature0097",11856775.12,8957694.924,33946232.68,202810162.7,233875658.6,220469012.1,6101452.649,11586480.79,36512686.04,9389185.936,32160000.36
"Feature0098",22675377.04,53745420.6,10741823.04,6377343.868,5472557.433,7561262.091,31137735.84,48110821.33,9276760.447,34507219.9,8891156.634
"Feature0099",2387039.721,1533381.607,2160617.574,2365584.904,79736687.02,1945814.783,2570043.748,1311540.052,127615004.4,124534982.4,126097297.9
"Feature0100",20798153.13,20539960.78,69455144.02,218125341,218258317.8,218926776,14110952.07,28064153.75,72156784.95,19753412.8,53605027.48
"Feature0101",10481041.12,15874774.51,3021631.623,827489.5213,460714.1693,542352.5181,3913604.515,20093997.48,4062955.736,15492539.99,4160499.777
